Date,Baseline,AU & AD & S
2021-07-19,24750.0,9610.000000000058
2021-07-20,28550.0,13410.000000000058
2021-07-21,28690.0,13410.000000000058
2021-07-22,26930.0,11650.000000000058
2021-07-23,27940.0,11650.000000000058
2021-07-26,30540.0,14250.000000000058
2021-07-27,31300.0,14250.000000000058
2021-07-28,30900.0,13850.000000000058
2021-07-29,30150.0,13850.000000000058
2021-07-30,27820.0,11520.000000000058
2021-08-02,27350.0,11520.000000000058
2021-08-03,24790.0,8960.000000000058
2021-08-04,24380.0,8960.000000000058
2021-08-05,28510.0,13090.000000000058
2021-08-06,28930.0,13090.000000000058
2021-08-09,28520.0,12680.000000000058
2021-08-10,28870.0,12680.000000000058
2021-08-11,29890.0,13700.000000000058
2021-08-12,31090.0,13700.000000000058
2021-08-13,32880.0,15490.000000000058
2021-08-16,30890.0,15490.000000000058
2021-08-17,27630.0,12230.000000000058
2021-08-18,26540.0,12230.000000000058
2021-08-19,25050.0,10740.000000000058
2021-08-20,26920.0,10740.000000000058
2021-08-23,29460.0,13280.000000000058
2021-08-24,30270.0,13280.000000000058
2021-08-25,30110.0,13120.000000000058
2021-08-26,28360.0,13120.000000000058
2021-08-27,31940.0,16700.00000000006
2021-08-30,31780.0,16700.00000000006
2021-08-31,33100.0,18020.00000000006
2021-09-01,35280.0,18020.00000000006
2021-09-02,33660.0,16400.00000000006
2021-09-03,32800.0,16400.00000000006
2021-09-07,36140.0,19740.00000000006
2021-09-08,36950.0,19740.00000000006
2021-09-09,37710.0,20500.00000000006
2021-09-10,35920.0,20500.00000000006
2021-09-13,36780.0,21360.00000000006
2021-09-14,34200.0,21360.00000000006
2021-09-15,36210.0,23370.00000000006
2021-09-16,35140.0,23370.00000000006
2021-09-17,35270.0,23500.00000000006
2021-09-20,30410.0,23500.00000000006
2021-09-21,22970.0,16060.000000000058
2021-09-22,25450.0,16060.000000000058
2021-09-23,28050.0,18660.00000000006
2021-09-24,27800.0,18660.00000000006
2021-09-27,30060.0,20920.00000000006
2021-09-28,26320.0,20920.00000000006
2021-09-29,24480.0,19080.00000000006
2021-09-30,20970.0,19080.00000000006
2021-10-01,27810.0,25920.00000000006
2021-10-04,25260.0,25920.00000000006
2021-10-05,26410.0,27070.00000000006
2021-10-06,27280.0,27070.00000000006
2021-10-07,29510.0,29300.00000000006
2021-10-08,28540.0,29300.00000000006
2021-10-11,25320.0,26080.00000000006
2021-10-12,24930.0,26080.00000000006
2021-10-13,24760.0,25910.00000000006
2021-10-14,26210.0,25910.00000000006
2021-10-15,28260.0,27960.00000000006
2021-10-18,22940.0,27960.00000000006
2021-10-19,22980.0,28000.00000000006
2021-10-20,22350.0,28000.00000000006
2021-10-21,23140.0,28790.00000000006
2021-10-22,21220.0,28790.00000000006
2021-10-25,23810.0,31380.00000000006
2021-10-26,23840.0,31380.00000000006
2021-10-27,21350.0,28890.00000000006
2021-10-28,21480.0,28890.00000000006
2021-10-29,20870.0,28280.00000000006
2021-11-01,21990.0,28280.00000000006
2021-11-02,21630.0,27920.00000000006
2021-11-03,21880.0,27920.00000000006
2021-11-04,22080.0,28120.00000000006
2021-11-05,27430.0,28120.00000000006
2021-11-08,28670.0,29360.00000000006
2021-11-09,26910.0,29360.00000000006
2021-11-10,26250.0,28700.00000000006
2021-11-11,13910.0,28700.00000000006
2021-11-12,11430.0,26220.00000000006
2021-11-15,10230.0,26220.00000000006
2021-11-16,10630.0,26620.00000000006
2021-11-17,9130.0,26620.00000000006
2021-11-18,7380.0,24870.00000000006
2021-11-19,5800.0,24870.00000000006
2021-11-22,5960.0,25030.00000000006
2021-11-23,2830.0,25030.00000000006
2021-11-24,3140.0,25340.00000000006
2021-11-26,-90.0,25340.00000000006
2021-11-29,-390.0,25040.00000000006
2021-11-30,-3300.0,25040.00000000006
2021-12-01,-6050.0,22290.00000000006
2021-12-02,-1000.0,22290.00000000006
2021-12-03,-1980.0,21310.00000000006
2021-12-06,2170.0,21310.00000000006
2021-12-07,2610.0,21750.00000000006
2021-12-08,5140.0,21750.00000000006
2021-12-09,4740.0,21350.00000000006
2021-12-10,4510.0,21350.00000000006
2021-12-13,2230.0,19070.00000000006
2021-12-14,900.0,19070.00000000006
2021-12-15,2200.0,20370.00000000006
2021-12-16,550.0,20370.00000000006
2021-12-17,560.0,20380.00000000006
2021-12-20,-1730.0,20380.00000000006
2021-12-21,2850.0,24960.00000000006
2021-12-22,3680.0,24960.00000000006
2021-12-23,5430.0,26710.00000000006
2021-12-27,4600.0,26710.00000000006
2021-12-28,7000.0,29110.00000000006
2021-12-29,6670.0,29110.00000000006
2021-12-30,7730.0,30170.00000000006
2021-12-31,6690.0,30170.00000000006
